"Source:","C:\Users\andy\OneDrive\Documents\DJet ECU Tester V2\trunk\DJet ECU Tester\PCB\DJetECUTester\DJetECUTester.sch"
"Date:","26/09/2022 21:35:14"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","136"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#","manf2#","psu"
"27","12","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12","MMBT2222ALT1G","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","MMBT2222ALT1G","",""
"28","6","R1, R2, R3, R4, R6, R44","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"29","22","R5, R9, R10, R13, R14, R19, R20, R23, R24, R25, R26, R27, R32, R33, R34, R35, R36, R38, R40, R42, R52, R53","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"30","8","R7, R8, R11, R12, R17, R18, R21, R22","1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"31","7","R15, R16, R28, R29, R30, R31, R45","100k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"32","4","R37, R39, R41, R43","11k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"33","4","R46, R47, R50, R51","50","Device:R_POT","Britishideas:Potentometer_Bourns_PV36W","~","PV36W500C01B00","",""
"34","2","R48, R49","4k2","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"35","1","R54","2k6","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"36","1","U1","ATmega328P","BritishIdeas:ATmega328P","Package_QFP:LQFP-32_7x7mm_P0.8mm","","ATMEGA328P-AUR","",""
"37","1","U2","LM2596S-5","Regulator_Switching:LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","LM2596S-5.0/NOPB","",""
"38","1","U3","FT232RL","Interface_USB:FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","FT232RL-REEL","",""
"39","3","U4, U5, U7","MCP41HV51-502E-ST","BritishIdeas:MCP41HV51-502E-ST","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","MCP41HV51-502E/ST","MCP41HV31-502E/ST",""
"40","1","U6","MCP23S08T-E_SO","BritishIdeas:MCP23S08T-E_SO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","","","",""
"41","1","Y1","FA-238 16.0000MB-C3","Device:Crystal_GND24","Britishideas:FA-238","~","FA-238 16.0000MB-C3","",""
